12,13,1993,3
12,13,1998,9
12,13,1990,10
14,15,1991,2
14,16,1991,2
14,16,1993,12
15,16,1991,2
17,18,1991,2
17,19,1991,2
18,19,1991,2
11,20,1993,14
11,20,1992,10
11,14,1990,2
11,14,1992,6
11,14,1993,12
11,14,1996,45
11,14,1994,34
11,17,1990,2
14,17,1990,2
16,21,1993,14
16,21,1994,4
22,23,1990,3
24,25,1991,6
24,25,2004,6
24,25,2001,6
24,25,2002,6
24,26,1991,6
24,27,1991,3
25,26,1991,6
25,27,1991,3
26,27,1991,3
36,37,1992,7
36,38,1992,7
37,38,1992,7
37,38,1991,5
30,49,1991,7
30,40,1991,7
40,49,1991,7
47,48,1991,7
40,48,1991,7
40,47,1991,7
30,46,1991,12
30,46,1990,5
34,55,1991,15
34,55,1992,10
38,71,1992,7
71,72,1992,7
38,72,1992,9
38,72,1993,5
78,79,1990,9
50,69,1990,7
50,69,1997,6
79,85,1990,7
78,85,1990,7
87,88,1990,4
87,88,1991,34
63,92,1991,2
63,93,1991,7
92,93,1991,2
33,50,1991,9
33,50,1996,12
33,50,1995,5
101,102,1992,2
38,101,1992,2
72,101,1992,2
38,102,1992,2
72,102,1992,2
61,103,1991,2
114,115,1992,2
114,115,1997,5
114,115,1993,10
117,118,1990,7
69,127,1990,2
51,118,1991,7
51,118,1999,11
33,141,1990,2
118,142,1991,7
143,144,1991,2
143,145,1991,2
144,145,1991,2
148,149,1992,2
33,128,1990,2
33,128,1992,6
33,34,1990,2
33,34,1992,6
33,34,1993,52
33,69,1990,2
33,69,1992,6
33,152,1990,2
33,152,1992,6
34,128,1990,2
34,128,1992,6
69,128,1990,2
69,128,1992,6
128,152,1990,2
128,152,1992,6
34,69,1990,2
34,69,1992,6
34,152,1990,2
34,152,1992,6
